Item,Qty,References,Value,Manufacturer,MPN,Footprint,AssemblyClass,ProcurementPolicy,Notes
1,1,R1,100k 1%,,,Resistor_0603_1608Metric,PCBA_POPULATE,APPROVED_GENERIC,
2,2,"R8, R9",10k 1%,,,Resistor_0603_1608Metric,PCBA_POPULATE,APPROVED_GENERIC,
3,1,F1,1812L200/16,Littelfuse,1812L200/16,Littelfuse_1812L200_16_4532Metric,PCBA_POPULATE,EXACT_MPN,
4,1,R2,1M 1%,,,Resistor_0603_1608Metric,PCBA_POPULATE,APPROVED_GENERIC,
5,2,"J4, J8",B2B-XH-A,JST,B2B-XH-A,JST_B2B-XH-A_1x02_P2.50mm_THT,PCBA_POPULATE,EXACT_MPN,
6,1,Q1,DMP3130LQ-7,Diodes Incorporated,DMP3130LQ-7,Diodes_DMP3130LQ-7_SOT23,PCBA_POPULATE,EXACT_MPN,
7,1,J3,E220-400T22D / E220-900T22D SOCKET,Samtec,SSW-107-02-G-S,E220_T22D_Socket_400_900,PCBA_POPULATE,EXACT_MPN,"E220 carrier socket, not E220 module"
8,1,C4,GRM1885C1H332JA01D,Murata,GRM1885C1H332JA01D,Murata_GRM188_1608Metric,PCBA_POPULATE,EXACT_MPN,
9,1,C5,GRM188R61A106MAAL,Murata,GRM188R61A106MAAL,Murata_GRM188_1608Metric,PCBA_POPULATE,EXACT_MPN,
10,1,C8,GRM188R71C104KA01D,Murata,GRM188R71C104KA01D,Carrier:Murata_GRM188_1608Metric,PCBA_POPULATE,EXACT_MPN,
11,3,"C2, C6, C7",GRM188R71C104KA01D,Murata,GRM188R71C104KA01D,Murata_GRM188_1608Metric,PCBA_POPULATE,EXACT_MPN,
12,1,C3,GRM21BR61A226ME44,Murata,GRM21BR61A226ME44,Murata_GRM21_2012Metric,PCBA_POPULATE,EXACT_MPN,
13,2,"C10, C9",GRM21BR61E106KA73,Murata,GRM21BR61E106KA73,Carrier:Murata_GRM21_2012Metric,PCBA_POPULATE,EXACT_MPN,
14,1,C1,GRM21BR61E106KA73,Murata,GRM21BR61E106KA73,Murata_GRM21_2012Metric,PCBA_POPULATE,EXACT_MPN,
15,1,R3,RC0603FR-0710KL,Yageo,RC0603FR-0710KL,Carrier:Resistor_0603_1608Metric,PCBA_POPULATE,EXACT_MPN,
16,1,R4,RC0603FR-073K3L,Yageo,RC0603FR-073K3L,Carrier:Resistor_0603_1608Metric,PCBA_POPULATE,EXACT_MPN,
17,1,D3,SMBJ10CA,Littelfuse,SMBJ10CA,Littelfuse_SMBJ10CA_DO214AA,PCBA_POPULATE,EXACT_MPN,
18,1,U3,SN74AHCT1G125DBVR,Texas Instruments,SN74AHCT1G125DBVR,TI_SN74AHCT1G125DBVR_SOT23-5,PCBA_POPULATE,EXACT_MPN,
19,1,J5,SSW-104-02-G-S,Samtec,SSW-104-02-G-S,Samtec_SSW_1x04_P2.54mm_THT,PCBA_POPULATE,EXACT_MPN,"OLED carrier socket, not OLED module"
20,1,J1,SSW-115-02-G-S DEVKIT LEFT,Samtec,SSW-115-02-G-S,Samtec_SSW_1x15_P2.54mm_THT,PCBA_POPULATE,EXACT_MPN,"ESP32 carrier socket, not module"
21,1,J2,SSW-115-02-G-S DEVKIT RIGHT,Samtec,SSW-115-02-G-S,Samtec_SSW_1x15_P2.54mm_THT,PCBA_POPULATE,EXACT_MPN,"ESP32 carrier socket, not module"
22,1,U4,TLV1117LV33DCYR,Texas Instruments,TLV1117LV33DCYR,Package_TO_SOT_SMD:SOT-223-3_TabPin2,PCBA_POPULATE,EXACT_MPN,
23,1,U1,TPS62133RGT,Texas Instruments,TPS62133RGT,TI_TPS62133RGT_RGT0016C,PCBA_POPULATE,EXACT_MPN,
24,1,JP1,TSW-102-07-G-S + SNT-100-BK-G,Samtec,TSW-102-07-G-S,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,PCBA_POPULATE,EXACT_MPN,2-pin header only
25,1,L1,XFL4020-222MEB,Coilcraft,XFL4020-222MEB,Coilcraft_XFL4020-222MEB,PCBA_POPULATE,EXACT_MPN,
