Designator,Mid X,Mid Y,Layer,Rotation,Value,Package
C1,67.700000,-59.225000,top,0.000000,GRM21BR61E106KA73,Murata_GRM21_2012Metric
C10,14.400000,-27.000000,top,180.000000,GRM21BR61E106KA73,Murata_GRM21_2012Metric
C2,66.000000,-56.000000,top,180.000000,GRM188R71C104KA01D,Murata_GRM188_1608Metric
C3,70.900000,-59.225000,top,180.000000,GRM21BR61A226ME44,Murata_GRM21_2012Metric
C4,67.000000,-53.500000,top,-90.000000,GRM1885C1H332JA01D,Murata_GRM188_1608Metric
C5,24.000000,-48.000000,top,0.000000,GRM188R61A106MAAL,Murata_GRM188_1608Metric
C6,21.305000,-49.750000,top,0.000000,GRM188R71C104KA01D,Murata_GRM188_1608Metric
C7,85.500000,-54.000000,top,90.000000,GRM188R71C104KA01D,Murata_GRM188_1608Metric
C8,88.000000,-69.000000,top,0.000000,GRM188R71C104KA01D,Murata_GRM188_1608Metric
C9,17.500000,-33.000000,top,-90.000000,GRM21BR61E106KA73,Murata_GRM21_2012Metric
D3,41.900000,-70.500000,top,180.000000,SMBJ10CA,Littelfuse_SMBJ10CA_DO214AA
F1,45.000000,-76.000000,top,0.000000,1812L200/16,Littelfuse_1812L200_16_4532Metric
L1,74.850000,-56.525000,top,90.000000,XFL4020-222MEB,Coilcraft_XFL4020-222MEB
Q1,63.000000,-76.000000,top,0.000000,DMP3130LQ-7,Diodes_DMP3130LQ-7_SOT23
R1,58.500000,-67.000000,top,90.000000,100k 1%,Resistor_0603_1608Metric
R2,62.500000,-67.000000,top,90.000000,1M 1%,Resistor_0603_1608Metric
R3,86.000000,-66.000000,top,0.000000,RC0603FR-0710KL,Resistor_0603_1608Metric
R4,90.000000,-66.000000,top,0.000000,RC0603FR-073K3L,Resistor_0603_1608Metric
R8,40.000000,-35.000000,top,0.000000,10k 1%,Resistor_0603_1608Metric
R9,46.000000,-35.000000,top,0.000000,10k 1%,Resistor_0603_1608Metric
U1,70.000000,-56.000000,top,180.000000,TPS62133RGT,TI_TPS62133RGT_RGT0016C
U3,89.000000,-54.000000,top,0.000000,SN74AHCT1G125DBVR,TI_SN74AHCT1G125DBVR_SOT23-5
U4,20.650000,-27.000000,top,0.000000,TLV1117LV33DCYR,SOT-223-3_TabPin2
